ModelID	is_rms	NAMPT	RPL5
ACH-000672	0	-0.06878559683636337	-2.781717692620202
ACH-000673	0	-0.13149525395456235	-2.906459608741041
ACH-000676	0	-0.45025643048036273	-1.9147011289527922
ACH-000677	0	-0.17393762765402987	-2.0922186292305565
ACH-000681	0	-0.3158692111086718	-2.88103059714455
ACH-000682	0	-0.10776151099943743	-2.6599500502060627
ACH-000683	0	-0.3720010812288261	-1.8628283454432837
ACH-000684	0	-0.4004140634761747	-1.777424405278255
ACH-000685	0	-0.46447477683358535	-2.5233735087556606
ACH-000688	0	-0.0697240059939892	-2.404625530147748
ACH-000693	0	-0.2772987990456529	-2.5023453617813076
ACH-000694	0	-0.17109433917744526	-2.2116771612279034
ACH-000695	0	-0.9195531169014874	-2.7993610172828
ACH-000696	0	-0.4638337267245708	-2.7867005174747477
ACH-000697	0	-0.7379453005507496	-3.177341926040535
ACH-000698	0	-1.0459691873569779	-2.2598033151426264
ACH-000699	0	-0.2559822048115912	-2.352223751631681
ACH-000700	0	-0.04591358367915793	-2.8049426097067283
ACH-000701	0	-0.29251369717407005	-2.4112444007381955
ACH-000702	0	-0.776625050122577	-2.2038114778780673
ACH-000704	0	-0.7325681263287409	-2.9211771850499058
ACH-000706	0	-0.09633379749256554	-2.5261063864336837
ACH-000709	0	-0.10345616329626628	-2.658111053991596
ACH-000711	0	-0.8812952331285123	-2.6552642846289674
ACH-000713	0	-0.8729766503002594	-2.517479913380388
ACH-000714	0	-0.9359221492233083	-2.7080131145772137
ACH-000716	0	-0.16860437633648057	-2.5207614008398016
ACH-000717	0	-0.5826734011484258	-2.3544221958100833
ACH-000718	0	-0.1539101523188336	-2.6720705246720016
ACH-000719	0	-0.11759495936989439	-1.9820857453285217
ACH-000720	0	-0.13692920553325638	-2.474784908244121
ACH-000721	0	-0.18787051211877254	-2.5508442380744962
ACH-000722	0	-1.5280832570343197	-2.49447557035594
ACH-000724	0	0.08910243188263245	-2.76216192859577
ACH-000725	0	-0.2990152223474396	-2.2171064993099225
ACH-000732	0	-0.3879506258126407	-2.816025152812204
